Region,Date,30-03-2026,30-03-2026,31-03-2026,31-03-2026,01-04-2026,01-04-2026,02-04-2026,02-04-2026,03-04-2026,03-04-2026,04-04-2026,04-04-2026,05-04-2026,05-04-2026
,States,Max. Demand Met during the day,Peak hr Shortage,Max. Demand Met during the day,Peak hr Shortage,Max. Demand Met during the day,Peak hr Shortage,Max. Demand Met during the day,Peak hr Shortage,Max. Demand Met during the day,Peak hr Shortage,Max. Demand Met during the day,Peak hr Shortage,Max. Demand Met during the day,Peak hr Shortage
NR,Punjab,7517,0,7441,0,7540,0,7579,0,7875,0,7277,0,6607,0
NR,Haryana,7940,0,7225,0,7944,0,8489,0,7529,0,8302,0,7166,0
NR,Rajasthan,12962,0,11326,0,11826,0,12382,0,11298,0,11019,0,10966,0
NR,Delhi,4456,0,4375,0,4367,0,4597,0,4445,0,4244,0,3961,0
NR,UP,21561,0,21301,0,22168,0,22797,0,21509,0,19134,0,19252,0
NR,Uttarakhand,2242,0,2276,0,2181,0,2256,0,2330,0,2272,0,2064,0
NR,HP,1783,0,1790,0,1678,0,1706,0,1740,0,1687,0,1645,0
NR,J&K,2632,0,2681,0,2592,0,2569,0,2600,0,2569,0,2665,0
NR,Chandigarh,211,0,214,0,210,0,220,0,208,0,210,0,190,0
NR,Railways_NR ISTS,206,0,200,0,199,0,202,0,205,0,200,0,207,0
WR,Chhattisgarh,6590,0,6606,0,6688,0,6675,0,6813,0,6728,0,6566,0
WR,Gujarat,22560,0,22704,0,21151,0,21483,0,21670,0,20730,0,20338,0
WR,MP,14678,0,13619,0,14009,0,13616,0,12269,0,13285,0,12477,0
WR,Maharashtra,30635,0,28265,0,28729,0,25959,0,26614,0,27759,0,26150,0
WR,Goa,814,0,819,0,816,0,788,0,784,0,804,0,731,0
WR,DNHDDPDCL,1279,0,1252,0,1182,0,1177,0,1265,0,1265,0,1194,0
WR,AMNSIL,960,0,886,0,929,0,917,0,859,0,851,0,915,0
WR,BALCO,684,0,690,0,671,0,709,0,711,0,709,0,1203,0
WR,RIL Jamnagar,259,0,259,0,269,0,259,0,267,0,265,0,266,0
SR,Andhra Pradesh,13205,0,13274,0,13231,0,13076,0,13256,0,13568,0,13273,0
SR,Telangana,17557,0,15585,0,16500,0,16791,0,16975,0,16481,0,16290,0
SR,Karnataka,16866,0,17175,0,16724,0,17359,0,17192,0,16745,0,15408,0
SR,Kerala,5120,0,5492,0,5582,0,5534,0,5275,0,5323,0,5368,0
SR,Tamil Nadu,19715,0,19828,0,19020,0,20040,0,19920,0,19556,0,17680,0
SR,Pondy,476,0,460,0,462,0,475,0,457,0,490,0,484,0
ER,Bihar,6556,174,6776,0,6895,0,7024,0,6949,0,7324,0,7316,0
ER,DVC,3178,0,3142,0,3185,0,3214,0,3168,0,3296,0,3169,0
ER,Jharkhand,2154,0,2084,0,2253,0,2228,0,2172,0,2367,0,2206,0
ER,Odisha,6683,0,6702,0,6938,0,6879,0,6354,0,7025,0,6743,0
ER,West Bengal,9988,0,9661,0,10400,0,11010,0,11598,0,11844,0,11692,0
ER,Sikkim,123,0,120,0,113,0,114,0,107,0,101,0,95,0
ER,Railways_ER ISTS,16,0,22,0,28,0,31,0,23,0,12,0,15,0
NER,Arunachal Pradesh,180,0,184,0,173,0,179,0,169,0,177,0,173,0
NER,Assam,1628,0,1699,0,1606,0,1832,0,1882,0,1863,0,1736,0
NER,Manipur,247,0,240,0,253,0,237,0,237,0,252,0,218,0
NER,Meghalaya,359,0,368,0,350,0,340,0,327,0,369,0,316,0
NER,Mizoram,133,0,137,0,153,0,148,0,120,0,151,0,114,0
NER,Nagaland,156,0,143,0,168,0,181,0,166,0,164,0,156,0
NER,Tripura,231,0,218,0,283,0,309,0,324,0,323,0,269,0
