Unique_ID,State_UT,District,Disease_Illness,Cases,Deaths,Outbreak_Start_Date,Reporting_Date,Current_Status,Comments_Action_Taken
AR/NAM/2025/19/786,Arunachal Pradesh,Namsai,Chickenpox,12,0,2025-05-08,2025-05-09,Under Surveillance,"Cases were reported from Village Dharampur, Sub-District Tengakhat, District Namsai. Cases presented with fever with maculo-papular rash. District RRT investigated the outbreak. Age group of the affected cases was 2-35 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
AS/BAR/2025/19/787,Assam,Barpeta,Fever of Unknown Origin,19,0,2025-05-08,2025-05-08,Under Surveillance,"Cases were reported from Village Batikuriha, Sub-District Barpeta, District Barpeta. Cases presented with fever. 19 blood samples were tested negative for Malaria by RDT kits. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
AS/DAR/2025/19/788,Assam,Darrang,Food Poisoning,71,0,2025-05-08,2025-05-08,Under Control,"Cases were reported from Village Baldeyapara, HWC Nayak Para, Sub- District Sipajhar, District Darrang. Cases presented with loose stools, fever and pain abdomen. 9 rectal swabs and 2 water samples were tested. Rectal swabs did not show growth of any pathogenic organism. Both the water samples found unfit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. All the cases developed the symptoms after having food in a social gathering. Community awareness and health education given by peripheral team on hygiene and sanitation"
AS/DHE/2025/19/789,Assam,Dhemaji,Food Poisoning,45,0,2025-05-06,2025-05-07,Under Surveillance,"Cases were reported from Jamjing AAM under Jonai BPHC, Sub-District Jonai, District Dhemaji. Cases presented with loose stools and vomiting. 2 water samples were tested at DPHL Dhemaji. One water sample found unfit for potable purpose. Food samples report is still awaited. District RRT investigated the outbreak. Cases treated symptomatically. All the cases developed the symptoms after having food in a social gathering. Community awareness and health education given by peripheral team on hygiene and sanitation"
AS/KOK/2025/19/790,Assam,Kokrajhar,Chickenpox,8,0,2025-05-06,2025-05-06,Under Surveillance,"Cases were reported from Ramaniashram SC, Village Hokmabil, Sub-District Dotoma, District Kokrajhar. Cases presented with fever with maculo-papular rash. 4 blood samples were collected and sent to DPHL Kokrajhar. 2 samples found positive for the Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 7-25 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
AS/LAK/2025/19/791,Assam,Lakhimpur,Chickenpox,7,0,2025-05-07,2025-05-07,Under Surveillance,"Cases were reported from Village Bongoan, Sub-District Naobaicha, District Lakhimpur. Cases presented with fever with maculo- papular rash. 6 blood samples were collected and sent to DPHL Lakhimpur. 4 samples found positive for the Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 1-44 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
AS/NAG/2025/19/792,Assam,Nagaon,Human Rabies,1,1,2025-05-04,2025-05-05,Under Surveillance,"Case was reported from Village Dhanek howa, Sub-District Kaliabor, District Nagaon. A 55-year-old female presented with complaints of fever, headache, hydrophobia, aerophobia. District RRT investigated the outbreak. History of dog bite on left hand finger on 29-03-2025. She did not take ARV. She expired on 03-05-2025 at home. Community awareness and health education given by peripheral team on vaccination for dog bite, hygiene and sanitation."
BH/VAI/2025/19/793,Bihar,Vaishali,Chickenpox,5,0,2025-05-08,2025-05-08,Under Surveillance,"Cases were reported from Village Hariharpur Shankar AzRakbeurf, District Vaishali. Cases presented with fever with rash. 8 blood samples were collected and sent to PMCH Patna. 5 samples found positive for the Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 5-60 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
CT/BIL/2025/19/794,Chhattisgarh,Bilaspur,Measles,32,0,2025-05-06,2025-05-07,Under Surveillance,"Cases were reported from Village Thakurkapa and Purena, Sub-District Takhatpur, District Bilaspur. Cases presented with fever with rash. 9 blood samples were collected and sent to NIRTH Jabalpur. All the samples found positive for the Measles IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was less than 16 years. Cases treated symptomatically. Vitamin A solution was given to susceptible. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
CT/RAI/2025/19/795,Chhattisgarh,Raipur,Acute Diarrheal Disease,23,0,2025-05-06,2025-05-07,Under Surveillance,"Cases were reported from Village Parsada, District Raipur. Cases presented with loose motion and vomiting. 4 stool samples were collected and sent to Hamar lab Pandri. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
