Region,State,Date,Energy_Consumption_MU
NR,Punjab,2026-03-30,154.8
NR,Haryana,2026-03-30,158.5
NR,Rajasthan,2026-03-30,266.3
NR,Delhi,2026-03-30,93.0
NR,UP,2026-03-30,422.6
NR,Uttarakhand,2026-03-30,42.9
NR,HP,2026-03-30,32.7
NR,J&K,2026-03-30,52.8
NR,Chandigarh,2026-03-30,4.0
NR,Railways_NR ISTS,2026-03-30,4.2
WR,Chhattisgarh,2026-03-30,149.6
WR,Gujarat,2026-03-30,471.1
WR,MP,2026-03-30,274.7
WR,Maharashtra,2026-03-30,659.1
WR,Goa,2026-03-30,17.1
WR,DNHDDPDCL,2026-03-30,29.3
WR,AMNSIL,2026-03-30,20.6
WR,BALCO,2026-03-30,16.3
WR,RIL Jamnagar,2026-03-30,5.9
SR,Andhra Pradesh,2026-03-30,264.0
SR,Telangana,2026-03-30,341.1
SR,Karnataka,2026-03-30,331.9
SR,Kerala,2026-03-30,97.4
SR,Tamil Nadu,2026-03-30,416.5
SR,Pondy,2026-03-30,10.3
ER,Bihar,2026-03-30,128.5
ER,DVC,2026-03-30,69.9
ER,Jharkhand,2026-03-30,45.7
ER,Odisha,2026-03-30,139.9
ER,West Bengal,2026-03-30,214.0
ER,Sikkim,2026-03-30,1.7
ER,Railways_ER ISTS,2026-03-30,0.3
NER,Arunachal Pradesh,2026-03-30,3.3
NER,Assam,2026-03-30,29.0
NER,Manipur,2026-03-30,3.4
NER,Meghalaya,2026-03-30,6.2
NER,Mizoram,2026-03-30,2.0
NER,Nagaland,2026-03-30,2.5
NER,Tripura,2026-03-30,3.7
ALL INDIA,ALL INDIA,2026-03-30,4986.2
NR,Punjab,2026-03-31,150.2
NR,Haryana,2026-03-31,154.2
NR,Rajasthan,2026-03-31,240.2
NR,Delhi,2026-03-31,84.4
NR,UP,2026-03-31,423.3
NR,Uttarakhand,2026-03-31,42.6
NR,HP,2026-03-31,30.8
NR,J&K,2026-03-31,48.9
NR,Chandigarh,2026-03-31,3.8
NR,Railways_NR ISTS,2026-03-31,4.1
WR,Chhattisgarh,2026-03-31,146.6
WR,Gujarat,2026-03-31,473.6
WR,MP,2026-03-31,269.2
WR,Maharashtra,2026-03-31,617.0
WR,Goa,2026-03-31,17.4
WR,DNHDDPDCL,2026-03-31,29.3
WR,AMNSIL,2026-03-31,19.6
WR,BALCO,2026-03-31,16.2
WR,RIL Jamnagar,2026-03-31,6.2
SR,Andhra Pradesh,2026-03-31,261.8
SR,Telangana,2026-03-31,297.5
SR,Karnataka,2026-03-31,338.7
SR,Kerala,2026-03-31,99.5
SR,Tamil Nadu,2026-03-31,424.0
SR,Pondy,2026-03-31,10.4
ER,Bihar,2026-03-31,132.3
ER,DVC,2026-03-31,68.7
ER,Jharkhand,2026-03-31,43.5
ER,Odisha,2026-03-31,144.3
ER,West Bengal,2026-03-31,200.6
ER,Sikkim,2026-03-31,1.8
ER,Railways_ER ISTS,2026-03-31,0.2
NER,Arunachal Pradesh,2026-03-31,3.3
NER,Assam,2026-03-31,30.8
NER,Manipur,2026-03-31,3.3
NER,Meghalaya,2026-03-31,6.0
NER,Mizoram,2026-03-31,2.1
NER,Nagaland,2026-03-31,2.6
NER,Tripura,2026-03-31,3.9
ALL INDIA,ALL INDIA,2026-03-31,4852.6
NR,Punjab,2026-04-01,151.3
NR,Haryana,2026-04-01,150.2
NR,Rajasthan,2026-04-01,239.6
NR,Delhi,2026-04-01,88.9
NR,UP,2026-04-01,395.5
NR,Uttarakhand,2026-04-01,41.7
NR,HP,2026-04-01,29.9
NR,J&K,2026-04-01,43.1
NR,Chandigarh,2026-04-01,4.0
NR,Railways_NR ISTS,2026-04-01,4.2
WR,Chhattisgarh,2026-04-01,147.9
WR,Gujarat,2026-04-01,449.0
WR,MP,2026-04-01,277.7
WR,Maharashtra,2026-04-01,636.3
WR,Goa,2026-04-01,17.5
WR,DNHDDPDCL,2026-04-01,27.1
WR,AMNSIL,2026-04-01,20.5
WR,BALCO,2026-04-01,16.0
WR,RIL Jamnagar,2026-04-01,6.4
SR,Andhra Pradesh,2026-04-01,257.6
SR,Telangana,2026-04-01,319.3
SR,Karnataka,2026-04-01,334.1
SR,Kerala,2026-04-01,102.8
SR,Tamil Nadu,2026-04-01,411.3
SR,Pondy,2026-04-01,10.1
ER,Bihar,2026-04-01,134.7
ER,DVC,2026-04-01,68.7
ER,Jharkhand,2026-04-01,44.5
ER,Odisha,2026-04-01,145.4
ER,West Bengal,2026-04-01,213.0
ER,Sikkim,2026-04-01,1.8
ER,Railways_ER ISTS,2026-04-01,0.2
NER,Arunachal Pradesh,2026-04-01,2.7
NER,Assam,2026-04-01,38.1
NER,Manipur,2026-04-01,3.4
NER,Meghalaya,2026-04-01,5.6
NER,Mizoram,2026-04-01,2.0
NER,Nagaland,2026-04-01,2.6
NER,Tripura,2026-04-01,4.7
ALL INDIA,ALL INDIA,2026-04-01,4849.3
NR,Punjab,2026-04-02,157.1
NR,Haryana,2026-04-02,158.9
NR,Rajasthan,2026-04-02,246.9
NR,Delhi,2026-04-02,93.6
NR,UP,2026-04-02,429.2
NR,Uttarakhand,2026-04-02,41.8
NR,HP,2026-04-02,31.0
NR,J&K,2026-04-02,51.7
NR,Chandigarh,2026-04-02,4.0
NR,Railways_NR ISTS,2026-04-02,4.2
WR,Chhattisgarh,2026-04-02,152.7
WR,Gujarat,2026-04-02,450.2
WR,MP,2026-04-02,268.3
WR,Maharashtra,2026-04-02,589.9
WR,Goa,2026-04-02,17.1
WR,DNHDDPDCL,2026-04-02,26.9
WR,AMNSIL,2026-04-02,20.8
WR,BALCO,2026-04-02,16.9
WR,RIL Jamnagar,2026-04-02,6.2
SR,Andhra Pradesh,2026-04-02,261.3
SR,Telangana,2026-04-02,324.1
