Region,State,Date,Maximum_Demand_MW,Peak_Shortage_MW
NR,Punjab,2026-03-30,7517,0
NR,Haryana,2026-03-30,7940,0
NR,Rajasthan,2026-03-30,12962,0
NR,Delhi,2026-03-30,4456,0
NR,UP,2026-03-30,21561,0
NR,Uttarakhand,2026-03-30,2242,0
NR,HP,2026-03-30,1783,0
NR,J&K,2026-03-30,2632,0
NR,Chandigarh,2026-03-30,211,0
NR,Railways_NR ISTS,2026-03-30,206,0
WR,Chhattisgarh,2026-03-30,6590,0
WR,Gujarat,2026-03-30,22560,0
WR,MP,2026-03-30,14678,0
WR,Maharashtra,2026-03-30,30635,0
WR,Goa,2026-03-30,814,0
WR,DNHDDPDCL,2026-03-30,1279,0
WR,AMNSIL,2026-03-30,960,0
WR,BALCO,2026-03-30,684,0
WR,RIL Jamnagar,2026-03-30,259,0
SR,Andhra Pradesh,2026-03-30,13205,0
SR,Telangana,2026-03-30,17557,0
SR,Karnataka,2026-03-30,16866,0
SR,Kerala,2026-03-30,5120,0
SR,Tamil Nadu,2026-03-30,19715,0
SR,Pondy,2026-03-30,476,0
ER,Bihar,2026-03-30,6556,174
ER,DVC,2026-03-30,3178,0
ER,Jharkhand,2026-03-30,2154,0
ER,Odisha,2026-03-30,6683,0
ER,West Bengal,2026-03-30,9988,0
ER,Sikkim,2026-03-30,123,0
ER,Railways_ER ISTS,2026-03-30,16,0
NER,Arunachal Pradesh,2026-03-30,180,0
NER,Assam,2026-03-30,1628,0
NER,Manipur,2026-03-30,247,0
NER,Meghalaya,2026-03-30,359,0
NER,Mizoram,2026-03-30,133,0
NER,Nagaland,2026-03-30,156,0
NER,Tripura,2026-03-30,231,0
NR,Punjab,2026-03-31,7441,0
NR,Haryana,2026-03-31,7225,0
NR,Rajasthan,2026-03-31,11326,0
NR,Delhi,2026-03-31,4375,0
NR,UP,2026-03-31,21301,0
NR,Uttarakhand,2026-03-31,2276,0
NR,HP,2026-03-31,1790,0
NR,J&K,2026-03-31,2681,0
NR,Chandigarh,2026-03-31,214,0
NR,Railways_NR ISTS,2026-03-31,200,0
WR,Chhattisgarh,2026-03-31,6606,0
WR,Gujarat,2026-03-31,22704,0
WR,MP,2026-03-31,13619,0
WR,Maharashtra,2026-03-31,28265,0
WR,Goa,2026-03-31,819,0
WR,DNHDDPDCL,2026-03-31,1252,0
WR,AMNSIL,2026-03-31,886,0
WR,BALCO,2026-03-31,690,0
WR,RIL Jamnagar,2026-03-31,259,0
SR,Andhra Pradesh,2026-03-31,13274,0
SR,Telangana,2026-03-31,15585,0
SR,Karnataka,2026-03-31,17175,0
SR,Kerala,2026-03-31,5492,0
SR,Tamil Nadu,2026-03-31,19828,0
SR,Pondy,2026-03-31,460,0
ER,Bihar,2026-03-31,6776,0
ER,DVC,2026-03-31,3142,0
ER,Jharkhand,2026-03-31,2084,0
ER,Odisha,2026-03-31,6702,0
ER,West Bengal,2026-03-31,9661,0
ER,Sikkim,2026-03-31,120,0
ER,Railways_ER ISTS,2026-03-31,22,0
NER,Arunachal Pradesh,2026-03-31,184,0
NER,Assam,2026-03-31,1699,0
NER,Manipur,2026-03-31,240,0
NER,Meghalaya,2026-03-31,368,0
NER,Mizoram,2026-03-31,137,0
NER,Nagaland,2026-03-31,143,0
NER,Tripura,2026-03-31,218,0
NR,Punjab,2026-04-01,7540,0
NR,Haryana,2026-04-01,7944,0
NR,Rajasthan,2026-04-01,11826,0
NR,Delhi,2026-04-01,4367,0
NR,UP,2026-04-01,22168,0
NR,Uttarakhand,2026-04-01,2181,0
NR,HP,2026-04-01,1678,0
NR,J&K,2026-04-01,2592,0
NR,Chandigarh,2026-04-01,210,0
NR,Railways_NR ISTS,2026-04-01,199,0
WR,Chhattisgarh,2026-04-01,6688,0
WR,Gujarat,2026-04-01,21151,0
WR,MP,2026-04-01,14009,0
WR,Maharashtra,2026-04-01,28729,0
WR,Goa,2026-04-01,816,0
WR,DNHDDPDCL,2026-04-01,1182,0
WR,AMNSIL,2026-04-01,929,0
WR,BALCO,2026-04-01,671,0
WR,RIL Jamnagar,2026-04-01,269,0
SR,Andhra Pradesh,2026-04-01,13231,0
SR,Telangana,2026-04-01,16500,0
SR,Karnataka,2026-04-01,16724,0
SR,Kerala,2026-04-01,5582,0
SR,Tamil Nadu,2026-04-01,19020,0
SR,Pondy,2026-04-01,462,0
ER,Bihar,2026-04-01,6895,0
ER,DVC,2026-04-01,3185,0
ER,Jharkhand,2026-04-01,2253,0
ER,Odisha,2026-04-01,6938,0
ER,West Bengal,2026-04-01,10400,0
ER,Sikkim,2026-04-01,113,0
ER,Railways_ER ISTS,2026-04-01,28,0
NER,Arunachal Pradesh,2026-04-01,173,0
NER,Assam,2026-04-01,1606,0
NER,Manipur,2026-04-01,253,0
NER,Meghalaya,2026-04-01,350,0
NER,Mizoram,2026-04-01,153,0
NER,Nagaland,2026-04-01,168,0
NER,Tripura,2026-04-01,283,0
NR,Punjab,2026-04-02,7579,0
NR,Haryana,2026-04-02,8489,0
NR,Rajasthan,2026-04-02,12382,0
NR,Delhi,2026-04-02,4597,0
NR,UP,2026-04-02,22797,0
NR,Uttarakhand,2026-04-02,2256,0
NR,HP,2026-04-02,1706,0
NR,J&K,2026-04-02,2569,0
NR,Chandigarh,2026-04-02,220,0
NR,Railways_NR ISTS,2026-04-02,202,0
WR,Chhattisgarh,2026-04-02,6675,0
WR,Gujarat,2026-04-02,21483,0
WR,MP,2026-04-02,13616,0
WR,Maharashtra,2026-04-02,25959,0
WR,Goa,2026-04-02,788,0
WR,DNHDDPDCL,2026-04-02,1177,0
