"5. र ज्यों में ऊर् ि िपत (लमललयन यर्ू नर्ट्स)
Energy Consumption in States (MUs)",,,,,,,,
क्षेत्र Region,र ज्य States,30-03-2026,31-03-2026,01-04-2026,02-04-2026,03-04-2026,04-04-2026,05-04-2026
"उ०क्षे०
NR",पर्ां ि Punjab,154.8,150.2,151.3,157.1,158.0,154.2,140.1
,िररय ण Haryana,158.5,154.2,150.2,158.9,155.8,153.1,132.6
,र र्स्ि न Rajasthan,266.3,240.2,239.6,246.9,233.3,226.0,222.2
,दिल्ली Delhi,93.0,84.4,88.9,93.6,93.4,88.4,85.5
,उिर प्रिेश UP,422.6,423.3,395.5,429.2,411.5,373.3,344.2
,उिर िडां Uttarakhand,42.9,42.6,41.7,41.8,44.5,43.9,39.5
,दिम िल प्रिेश HP,32.7,30.8,29.9,31.0,32.1,31.4,28.4
,र्म्मू और कचमीर J&K,52.8,48.9,43.1,51.7,52.8,51.2,53.1
,िडां ीगढ़ Chandigarh,4.0,3.8,4.0,4.0,4.0,3.9,3.5
,रेलवे Railways_NR ISTS,4.2,4.1,4.2,4.2,4.2,4.2,4.3
,छिीसगढ़ Chhattisgarh,149.6,146.6,147.9,152.7,152.9,150.8,140.7
,गर्ु र त Gujarat,471.1,473.6,449.0,450.2,450.0,447.1,426.5
,मध्य प्रिेश MP,274.7,269.2,277.7,268.3,253.5,264.4,254.0
"प०क्षे०
WR",मि र ष्ट्ट्र Maharashtra,659.1,617.0,636.3,589.9,582.2,605.2,590.2
,गोव Goa,17.1,17.4,17.5,17.1,16.4,17.0,15.4
,"ि िर और नगर िवले ी एवां िमन और
िीव DNHDDPDCL",29.3,29.3,27.1,26.9,28.4,28.7,26.7
,एएमएनएसआईएल AMNSIL,20.6,19.6,20.5,20.8,18.3,19.0,19.4
,ि ल्को BALCO,16.3,16.2,16.0,16.9,16.9,16.9,17.5
,"आर.आई.एल.र् मनगर
RIL Jamnagar",5.9,6.2,6.4,6.2,6.3,6.3,6.3
ि०क्षे०,आध्रां प्रिेश Andhra Pradesh,264.0,261.8,257.6,261.3,265.2,265.9,262.5
,तले गां न Telangana,341.1,297.5,319.3,324.1,326.8,324.3,313.9
,कन िटक Karnataka,331.9,338.7,334.1,338.9,337.2,336.8,310.2
SR,केरल Kerala,97.4,99.5,102.8,102.5,95.9,99.5,93.0
,तलमलन डु Tamil Nadu,416.5,424.0,411.3,419.9,426.8,424.5,379.2
,पिु िु रे ी (पॉश्डडिरे ी) Pondy,10.3,10.4,10.1,10.4,10.5,10.8,10.4
,बिि र Bihar,128.5,132.3,134.7,136.7,134.9,144.2,133.7
"पू०क्षे०
ER",डीवीसी DVC,69.9,68.7,68.7,70.8,69.5,71.7,68.2
,झ रिडां Jharkhand,45.7,43.5,44.5,45.9,45.5,47.0,42.6
,ओडडश Odisha,139.9,144.3,145.4,141.7,136.7,147.2,136.6
,पश्चिम िगां ल West Bengal,214.0,200.6,213.0,236.0,246.2,253.8,208.9
,लसश्ककम Sikkim,1.7,1.8,1.8,1.8,1.8,1.7,1.3
,रेलवे Railways_ER ISTS,0.3,0.2,0.2,0.2,0.3,0.2,0.2
"उ०पू०क्षे०
NER","अरुण िल प्रिेश
Arunachal Pradesh",3.3,3.3,2.7,2.9,3.2,3.0,3.0
,असम Assam,29.0,30.8,38.1,30.5,32.5,32.8,30.7
,मखणपरु Manipur,3.4,3.3,3.4,3.3,3.1,3.4,3.2
,मघे लय Meghalaya,6.2,6.0,5.6,5.8,5.7,6.3,5.7
,लमर्ोरम Mizoram,2.0,2.1,2.0,2.1,2.0,2.0,2.1
,न ग लडैं Nagaland,2.5,2.6,2.6,2.7,2.2,2.6,2.4
,बत्रपरु Tripura,3.7,3.9,4.7,5.4,5.6,5.6,5.1
अखिल भ रतीय ALL INDIA,,4986.2,4852.6,4849.3,4910.4,4865.7,4868.4,4562.6
